start_of_week,deceduti_diff,data,year,week_number
2022-12-30 17:00:00,775.0,2023-01-05 17:00:00,2022,66
2023-01-06 17:00:00,576.0,2023-01-12 17:00:00,2023,67
2023-01-13 17:00:00,495.0,2023-01-19 17:00:00,2023,68
2023-01-20 17:00:00,345.0,2023-01-26 17:00:00,2023,69
2023-01-27 17:00:00,439.0,2023-02-02 17:00:00,2023,70
2023-02-03 17:00:00,279.0,2023-02-09 17:00:00,2023,71
2023-02-10 17:00:00,299.0,2023-02-16 17:00:00,2023,72
2023-02-17 17:00:00,244.0,2023-02-23 17:00:00,2023,73
2023-02-24 17:00:00,228.0,2023-03-02 17:00:00,2023,74
2023-03-03 17:00:00,216.0,2023-03-09 17:00:00,2023,75
2023-03-10 17:00:00,212.0,2023-03-16 17:00:00,2023,76
2023-03-17 17:00:00,183.0,2023-03-23 17:00:00,2023,77
2023-03-24 17:00:00,156.0,2023-03-30 17:00:00,2023,78
2023-03-31 17:00:00,173.0,2023-04-06 17:00:00,2023,79
2023-04-07 17:00:00,129.0,2023-04-13 17:00:00,2023,80
2023-04-14 17:00:00,191.0,2023-04-20 17:00:00,2023,81
2023-04-21 17:00:00,156.0,2023-04-27 17:00:00,2023,82
2023-04-28 17:00:00,166.0,2023-05-04 17:00:00,2023,83
2023-05-05 17:00:00,176.0,2023-05-11 17:00:00,2023,84
2023-05-12 17:00:00,162.0,2023-05-18 17:00:00,2023,85
2023-05-19 17:00:00,150.0,2023-05-25 17:00:00,2023,86
2023-05-26 17:00:00,125.0,2023-06-01 17:00:00,2023,87
2023-06-02 17:00:00,108.0,2023-06-08 17:00:00,2023,88
2023-06-09 17:00:00,81.0,2023-06-15 17:00:00,2023,89
2023-06-16 17:00:00,76.0,2023-06-22 17:00:00,2023,90
2023-06-23 17:00:00,86.0,2023-06-29 17:00:00,2023,91
2023-06-30 17:00:00,38.0,2023-07-06 17:00:00,2023,92
