start_of_week,deceduti_diff,data,year,week_number
2023-09-14 17:00:00,117.0,2023-09-20 17:00:00,2023,103
2023-09-21 17:00:00,129.0,2023-09-27 17:00:00,2023,104
2023-09-28 17:00:00,137.0,2023-10-04 17:00:00,2023,105
2023-10-05 17:00:00,161.0,2023-10-11 17:00:00,2023,106
2023-10-12 17:00:00,197.0,2023-10-18 17:00:00,2023,107
2023-10-19 17:00:00,196.0,2023-10-25 17:00:00,2023,108
2023-10-26 17:00:00,148.0,2023-11-01 17:00:00,2023,109
2023-11-02 17:00:00,163.0,2023-11-08 17:00:00,2023,110
2023-11-09 17:00:00,192.0,2023-11-15 17:00:00,2023,111
2023-11-16 17:00:00,235.0,2023-11-22 17:00:00,2023,112
2023-11-23 17:00:00,291.0,2023-11-29 17:00:00,2023,113
2023-11-30 17:00:00,307.0,2023-12-06 17:00:00,2023,114
2023-12-07 17:00:00,322.0,2023-12-13 17:00:00,2023,115
2023-12-14 17:00:00,425.0,2023-12-20 17:00:00,2023,116
2023-12-21 17:00:00,279.0,2023-12-27 17:00:00,2023,117
2023-12-28 17:00:00,371.0,2024-01-03 17:00:00,2023,118
