start_of_week,deceduti_diff,data,year,week_number
2022-02-04 17:00:00,2487.0,2022-02-10 17:00:00,2022,19
2022-02-11 17:00:00,2061.0,2022-02-17 17:00:00,2022,20
2022-02-18 17:00:00,1731.0,2022-02-24 17:00:00,2022,21
2022-02-25 17:00:00,1386.0,2022-03-03 17:00:00,2022,22
2022-03-04 17:00:00,1094.0,2022-03-10 17:00:00,2022,23
2022-03-11 17:00:00,949.0,2022-03-17 17:00:00,2022,24
2022-03-18 17:00:00,994.0,2022-03-24 17:00:00,2022,25
2022-03-25 17:00:00,947.0,2022-03-31 17:00:00,2022,26
2022-04-01 17:00:00,1019.0,2022-04-07 17:00:00,2022,27
2022-04-08 17:00:00,934.0,2022-04-14 17:00:00,2022,28
2022-04-15 17:00:00,928.0,2022-04-21 17:00:00,2022,29
2022-04-22 17:00:00,980.0,2022-04-28 17:00:00,2022,30
2022-04-29 17:00:00,935.0,2022-05-05 17:00:00,2022,31
2022-05-06 17:00:00,797.0,2022-05-12 17:00:00,2022,32
2022-05-13 17:00:00,762.0,2022-05-19 17:00:00,2022,33
2022-05-20 17:00:00,633.0,2022-05-26 17:00:00,2022,34
2022-05-27 17:00:00,464.0,2022-06-02 17:00:00,2022,35
2022-06-03 17:00:00,407.0,2022-06-09 17:00:00,2022,36
2022-06-10 17:00:00,375.0,2022-06-16 17:00:00,2022,37
