start_of_week,deceduti_diff,data_end_week,year,week_number
2023-07-07 17:00:00,36.0,2023-07-13 17:00:00,2023,93
2023-07-14 17:00:00,45.0,2023-07-20 17:00:00,2023,94
2023-07-21 17:00:00,25.0,2023-07-27 17:00:00,2023,95
2023-07-28 17:00:00,41.0,2023-08-03 17:00:00,2023,96
2023-08-04 17:00:00,65.0,2023-08-10 17:00:00,2023,97
2023-08-10 17:00:00,56.0,2023-08-16 17:00:00,2023,98
2023-08-17 17:00:00,44.0,2023-08-23 17:00:00,2023,99
2023-08-24 17:00:00,65.0,2023-08-30 17:00:00,2023,100
2023-08-31 17:00:00,94.0,2023-09-06 17:00:00,2023,101
2023-09-07 17:00:00,99.0,2023-09-13 17:00:00,2023,102
