start_of_week,deceduti_diff,data_end_week,year,week_number
2024-05-30 17:00:00,10.0,2024-06-05 17:00:00,2024,140
2024-06-06 17:00:00,17.0,2024-06-12 17:00:00,2024,141
2024-06-13 17:00:00,14.0,2024-06-19 17:00:00,2024,142
2024-06-20 17:00:00,21.0,2024-06-26 17:00:00,2024,143
2024-06-27 17:00:00,18.0,2024-07-03 17:00:00,2024,144
2024-07-04 17:00:00,33.0,2024-07-10 17:00:00,2024,145
2024-07-11 17:00:00,40.0,2024-07-17 17:00:00,2024,146
2024-07-18 17:00:00,53.0,2024-07-24 17:00:00,2024,147
2024-07-25 17:00:00,54.0,2024-07-31 17:00:00,2024,148
2024-08-01 17:00:00,87.0,2024-08-07 17:00:00,2024,149
2024-08-08 17:00:00,100.0,2024-08-14 17:00:00,2024,150
2024-08-15 17:00:00,99.0,2024-08-21 17:00:00,2024,151
2024-08-22 17:00:00,135.0,2024-08-28 17:00:00,2024,152
2024-08-29 17:00:00,75.0,2024-09-04 17:00:00,2024,153
2024-09-05 17:00:00,97.0,2024-09-11 17:00:00,2024,154
2024-09-12 17:00:00,93.0,2024-09-18 17:00:00,2024,155
2024-09-19 17:00:00,112.0,2024-09-25 17:00:00,2024,156
