start_of_week,deceduti_diff,data_end_week,year,week_number
2021-09-24 17:00:00,370.0,2021-09-30 17:00:00,2021,0
2021-10-01 17:00:00,277.0,2021-10-07 17:00:00,2021,1
2021-10-08 17:00:00,263.0,2021-10-14 17:00:00,2021,2
2021-10-15 17:00:00,263.0,2021-10-21 17:00:00,2021,3
2021-10-22 17:00:00,280.0,2021-10-28 17:00:00,2021,4
2021-10-29 17:00:00,279.0,2021-11-04 17:00:00,2021,5
2021-11-05 17:00:00,335.0,2021-11-11 17:00:00,2021,6
2021-11-12 17:00:00,416.0,2021-11-18 17:00:00,2021,7
2021-11-19 17:00:00,452.0,2021-11-25 17:00:00,2021,8
2021-11-26 17:00:00,517.0,2021-12-02 17:00:00,2021,9
2021-12-03 17:00:00,548.0,2021-12-09 17:00:00,2021,10
2021-12-10 17:00:00,750.0,2021-12-16 17:00:00,2021,11
2021-12-17 17:00:00,944.0,2021-12-23 17:00:00,2021,12
2021-12-24 17:00:00,1002.0,2021-12-30 17:00:00,2021,13
2021-12-31 17:00:00,1227.0,2022-01-06 17:00:00,2021,14
2022-01-07 17:00:00,1714.0,2022-01-13 17:00:00,2022,15
2022-01-14 17:00:00,2402.0,2022-01-20 17:00:00,2022,16
2022-01-21 17:00:00,2569.0,2022-01-27 17:00:00,2022,17
2022-01-28 17:00:00,2575.0,2022-02-03 17:00:00,2022,18
