start_of_week,deceduti_diff,data,year,week_number
2022-08-26 17:00:00,536.0,2022-09-01 17:00:00,2022,48
2022-09-02 17:00:00,435.0,2022-09-08 17:00:00,2022,49
2022-09-09 17:00:00,366.0,2022-09-15 17:00:00,2022,50
2022-09-16 17:00:00,311.0,2022-09-22 17:00:00,2022,51
2022-09-23 17:00:00,279.0,2022-09-29 17:00:00,2022,52
2022-09-30 17:00:00,302.0,2022-10-06 17:00:00,2022,53
2022-10-07 17:00:00,429.0,2022-10-13 17:00:00,2022,54
2022-10-14 17:00:00,574.0,2022-10-20 17:00:00,2022,55
2022-10-21 17:00:00,581.0,2022-10-27 17:00:00,2022,56
2022-10-28 17:00:00,496.0,2022-11-03 17:00:00,2022,57
2022-11-04 17:00:00,549.0,2022-11-10 17:00:00,2022,58
2022-11-11 17:00:00,533.0,2022-11-17 17:00:00,2022,59
2022-11-18 17:00:00,580.0,2022-11-24 17:00:00,2022,60
2022-11-25 17:00:00,635.0,2022-12-01 17:00:00,2022,61
2022-12-02 17:00:00,686.0,2022-12-08 17:00:00,2022,62
2022-12-09 17:00:00,719.0,2022-12-15 17:00:00,2022,63
2022-12-16 17:00:00,798.0,2022-12-22 17:00:00,2022,64
2022-12-23 17:00:00,706.0,2022-12-29 17:00:00,2022,65
