start_of_week,deceduti_diff,data,year,week_number
2021-09-24 17:00:00,370.0,2021-09-30 17:00:00,2021,38
2021-10-01 17:00:00,277.0,2021-10-07 17:00:00,2021,39
2021-10-08 17:00:00,263.0,2021-10-14 17:00:00,2021,40
2021-10-15 17:00:00,263.0,2021-10-21 17:00:00,2021,41
2021-10-22 17:00:00,280.0,2021-10-28 17:00:00,2021,42
2021-10-29 17:00:00,279.0,2021-11-04 17:00:00,2021,43
2021-11-05 17:00:00,335.0,2021-11-11 17:00:00,2021,44
2021-11-12 17:00:00,416.0,2021-11-18 17:00:00,2021,45
2021-11-19 17:00:00,452.0,2021-11-25 17:00:00,2021,46
2021-11-26 17:00:00,517.0,2021-12-02 17:00:00,2021,47
2021-12-03 17:00:00,548.0,2021-12-09 17:00:00,2021,48
2021-12-10 17:00:00,750.0,2021-12-16 17:00:00,2021,49
2021-12-17 17:00:00,944.0,2021-12-23 17:00:00,2021,50
2021-12-24 17:00:00,1002.0,2021-12-30 17:00:00,2021,51
2021-12-31 17:00:00,1227.0,2022-01-06 17:00:00,2021,52
2022-01-07 17:00:00,1714.0,2022-01-13 17:00:00,2022,1
2022-01-14 17:00:00,2402.0,2022-01-20 17:00:00,2022,2
2022-01-21 17:00:00,2569.0,2022-01-27 17:00:00,2022,3
2022-01-28 17:00:00,2575.0,2022-02-03 17:00:00,2022,4
2022-02-04 17:00:00,2487.0,2022-02-10 17:00:00,2022,5
2022-02-11 17:00:00,2061.0,2022-02-17 17:00:00,2022,6
2022-02-18 17:00:00,1731.0,2022-02-24 17:00:00,2022,7
2022-02-25 17:00:00,1386.0,2022-03-03 17:00:00,2022,8
2022-03-04 17:00:00,1094.0,2022-03-10 17:00:00,2022,9
2022-03-11 17:00:00,949.0,2022-03-17 17:00:00,2022,10
2022-03-18 17:00:00,994.0,2022-03-24 17:00:00,2022,11
2022-03-25 17:00:00,947.0,2022-03-31 17:00:00,2022,12
2022-04-01 17:00:00,1019.0,2022-04-07 17:00:00,2022,13
2022-04-08 17:00:00,934.0,2022-04-14 17:00:00,2022,14
2022-04-15 17:00:00,928.0,2022-04-21 17:00:00,2022,15
2022-04-22 17:00:00,980.0,2022-04-28 17:00:00,2022,16
2022-04-29 17:00:00,935.0,2022-05-05 17:00:00,2022,17
2022-05-06 17:00:00,797.0,2022-05-12 17:00:00,2022,18
2022-05-13 17:00:00,762.0,2022-05-19 17:00:00,2022,19
2022-05-20 17:00:00,633.0,2022-05-26 17:00:00,2022,20
2022-05-27 17:00:00,464.0,2022-06-02 17:00:00,2022,21
2022-06-03 17:00:00,407.0,2022-06-09 17:00:00,2022,22
2022-06-10 17:00:00,375.0,2022-06-16 17:00:00,2022,23
2022-06-17 17:00:00,350.0,2022-06-23 17:00:00,2022,24
2022-06-24 17:00:00,386.0,2022-06-30 17:00:00,2022,25
2022-07-01 17:00:00,511.0,2022-07-07 17:00:00,2022,26
2022-07-08 17:00:00,737.0,2022-07-14 17:00:00,2022,27
2022-07-15 17:00:00,926.0,2022-07-21 17:00:00,2022,28
2022-07-22 17:00:00,1111.0,2022-07-28 17:00:00,2022,29
2022-07-29 17:00:00,1091.0,2022-08-04 17:00:00,2022,30
2022-08-05 17:00:00,972.0,2022-08-11 17:00:00,2022,31
2022-08-12 17:00:00,746.0,2022-08-18 17:00:00,2022,32
2022-08-19 17:00:00,680.0,2022-08-25 17:00:00,2022,33
2022-08-26 17:00:00,536.0,2022-09-01 17:00:00,2022,34
2022-09-02 17:00:00,435.0,2022-09-08 17:00:00,2022,35
2022-09-09 17:00:00,366.0,2022-09-15 17:00:00,2022,36
2022-09-16 17:00:00,311.0,2022-09-22 17:00:00,2022,37
2022-09-23 17:00:00,279.0,2022-09-29 17:00:00,2022,38
2022-09-30 17:00:00,302.0,2022-10-06 17:00:00,2022,39
2022-10-07 17:00:00,429.0,2022-10-13 17:00:00,2022,40
2022-10-14 17:00:00,574.0,2022-10-20 17:00:00,2022,41
2022-10-21 17:00:00,581.0,2022-10-27 17:00:00,2022,42
2022-10-28 17:00:00,496.0,2022-11-03 17:00:00,2022,43
2022-11-04 17:00:00,549.0,2022-11-10 17:00:00,2022,44
2022-11-11 17:00:00,533.0,2022-11-17 17:00:00,2022,45
2022-11-18 17:00:00,580.0,2022-11-24 17:00:00,2022,46
2022-11-25 17:00:00,635.0,2022-12-01 17:00:00,2022,47
2022-12-02 17:00:00,686.0,2022-12-08 17:00:00,2022,48
2022-12-09 17:00:00,719.0,2022-12-15 17:00:00,2022,49
2022-12-16 17:00:00,798.0,2022-12-22 17:00:00,2022,50
2022-12-23 17:00:00,706.0,2022-12-29 17:00:00,2022,51
2022-12-30 17:00:00,775.0,2023-01-05 17:00:00,2022,52
2023-01-06 17:00:00,576.0,2023-01-12 17:00:00,2023,1
2023-01-13 17:00:00,495.0,2023-01-19 17:00:00,2023,2
2023-01-20 17:00:00,345.0,2023-01-26 17:00:00,2023,3
2023-01-27 17:00:00,439.0,2023-02-02 17:00:00,2023,4
2023-02-03 17:00:00,279.0,2023-02-09 17:00:00,2023,5
2023-02-10 17:00:00,299.0,2023-02-16 17:00:00,2023,6
2023-02-17 17:00:00,244.0,2023-02-23 17:00:00,2023,7
2023-02-24 17:00:00,228.0,2023-03-02 17:00:00,2023,8
2023-03-03 17:00:00,216.0,2023-03-09 17:00:00,2023,9
2023-03-10 17:00:00,212.0,2023-03-16 17:00:00,2023,10
2023-03-17 17:00:00,183.0,2023-03-23 17:00:00,2023,11
2023-03-24 17:00:00,156.0,2023-03-30 17:00:00,2023,12
2023-03-31 17:00:00,173.0,2023-04-06 17:00:00,2023,13
2023-04-07 17:00:00,129.0,2023-04-13 17:00:00,2023,14
2023-04-14 17:00:00,191.0,2023-04-20 17:00:00,2023,15
2023-04-21 17:00:00,156.0,2023-04-27 17:00:00,2023,16
2023-04-28 17:00:00,166.0,2023-05-04 17:00:00,2023,17
2023-05-05 17:00:00,176.0,2023-05-11 17:00:00,2023,18
2023-05-12 17:00:00,162.0,2023-05-18 17:00:00,2023,19
2023-05-19 17:00:00,150.0,2023-05-25 17:00:00,2023,20
2023-05-26 17:00:00,125.0,2023-06-01 17:00:00,2023,21
2023-06-02 17:00:00,108.0,2023-06-08 17:00:00,2023,22
2023-06-09 17:00:00,81.0,2023-06-15 17:00:00,2023,23
2023-06-16 17:00:00,76.0,2023-06-22 17:00:00,2023,24
2023-06-23 17:00:00,86.0,2023-06-29 17:00:00,2023,25
2023-06-30 17:00:00,38.0,2023-07-06 17:00:00,2023,26
2023-07-07 17:00:00,36.0,2023-07-13 17:00:00,2023,27
2023-07-14 17:00:00,45.0,2023-07-20 17:00:00,2023,28
2023-07-21 17:00:00,25.0,2023-07-27 17:00:00,2023,29
2023-07-28 17:00:00,41.0,2023-08-03 17:00:00,2023,30
2023-08-04 17:00:00,65.0,2023-08-10 17:00:00,2023,31
2023-08-10 17:00:00,56.0,2023-08-16 17:00:00,2023,32
2023-08-17 17:00:00,44.0,2023-08-23 17:00:00,2023,33
2023-08-24 17:00:00,65.0,2023-08-30 17:00:00,2023,34
2023-08-31 17:00:00,94.0,2023-09-06 17:00:00,2023,35
2023-09-07 17:00:00,99.0,2023-09-13 17:00:00,2023,36
2023-09-14 17:00:00,117.0,2023-09-20 17:00:00,2023,37
2023-09-21 17:00:00,129.0,2023-09-27 17:00:00,2023,38
2023-09-28 17:00:00,137.0,2023-10-04 17:00:00,2023,39
2023-10-05 17:00:00,161.0,2023-10-11 17:00:00,2023,40
2023-10-12 17:00:00,197.0,2023-10-18 17:00:00,2023,41
2023-10-19 17:00:00,196.0,2023-10-25 17:00:00,2023,42
2023-10-26 17:00:00,148.0,2023-11-01 17:00:00,2023,43
2023-11-02 17:00:00,163.0,2023-11-08 17:00:00,2023,44
2023-11-09 17:00:00,192.0,2023-11-15 17:00:00,2023,45
2023-11-16 17:00:00,235.0,2023-11-22 17:00:00,2023,46
2023-11-23 17:00:00,291.0,2023-11-29 17:00:00,2023,47
2023-11-30 17:00:00,307.0,2023-12-06 17:00:00,2023,48
2023-12-07 17:00:00,322.0,2023-12-13 17:00:00,2023,49
2023-12-14 17:00:00,425.0,2023-12-20 17:00:00,2023,50
2023-12-21 17:00:00,279.0,2023-12-27 17:00:00,2023,51
2023-12-28 17:00:00,371.0,2024-01-03 17:00:00,2023,52
2024-01-04 17:00:00,355.0,2024-01-10 17:00:00,2024,1
2024-01-11 17:00:00,258.0,2024-01-17 17:00:00,2024,2
2024-01-18 17:00:00,203.0,2024-01-24 17:00:00,2024,3
2024-01-25 17:00:00,115.0,2024-01-31 17:00:00,2024,4
2024-02-01 17:00:00,95.0,2024-02-07 17:00:00,2024,5
2024-02-08 17:00:00,92.0,2024-02-14 17:00:00,2024,6
2024-02-15 17:00:00,52.0,2024-02-21 17:00:00,2024,7
2024-02-22 17:00:00,39.0,2024-02-28 17:00:00,2024,8
2024-02-29 17:00:00,31.0,2024-03-06 17:00:00,2024,9
2024-03-07 17:00:00,41.0,2024-03-13 17:00:00,2024,10
2024-03-14 17:00:00,26.0,2024-03-20 17:00:00,2024,11
2024-03-21 17:00:00,20.0,2024-03-27 17:00:00,2024,12
2024-03-28 17:00:00,21.0,2024-04-03 17:00:00,2024,13
2024-04-04 17:00:00,15.0,2024-04-10 17:00:00,2024,14
2024-04-11 17:00:00,9.0,2024-04-17 17:00:00,2024,15
2024-04-18 17:00:00,7.0,2024-04-24 17:00:00,2024,16
2024-04-25 17:00:00,9.0,2024-05-01 17:00:00,2024,17
2024-05-02 17:00:00,9.0,2024-05-08 17:00:00,2024,18
2024-05-09 17:00:00,17.0,2024-05-15 17:00:00,2024,19
2024-05-16 17:00:00,8.0,2024-05-22 17:00:00,2024,20
2024-05-23 17:00:00,10.0,2024-05-29 17:00:00,2024,21
2024-05-30 17:00:00,10.0,2024-06-05 17:00:00,2024,22
2024-06-06 17:00:00,17.0,2024-06-12 17:00:00,2024,23
2024-06-13 17:00:00,14.0,2024-06-19 17:00:00,2024,24
2024-06-20 17:00:00,21.0,2024-06-26 17:00:00,2024,25
2024-06-27 17:00:00,18.0,2024-07-03 17:00:00,2024,26
2024-07-04 17:00:00,33.0,2024-07-10 17:00:00,2024,27
2024-07-11 17:00:00,40.0,2024-07-17 17:00:00,2024,28
2024-07-18 17:00:00,53.0,2024-07-24 17:00:00,2024,29
2024-07-25 17:00:00,54.0,2024-07-31 17:00:00,2024,30
2024-08-01 17:00:00,87.0,2024-08-07 17:00:00,2024,31
2024-08-08 17:00:00,100.0,2024-08-14 17:00:00,2024,32
2024-08-15 17:00:00,99.0,2024-08-21 17:00:00,2024,33
2024-08-22 17:00:00,135.0,2024-08-28 17:00:00,2024,34
2024-08-29 17:00:00,75.0,2024-09-04 17:00:00,2024,35
2024-09-05 17:00:00,97.0,2024-09-11 17:00:00,2024,36
2024-09-12 17:00:00,93.0,2024-09-18 17:00:00,2024,37
2024-09-19 17:00:00,112.0,2024-09-25 17:00:00,2024,38
2024-09-26 17:00:00,85.0,2024-10-02 17:00:00,2024,39
2024-10-03 17:00:00,100.0,2024-10-09 17:00:00,2024,40
2024-10-10 17:00:00,117.0,2024-10-16 17:00:00,2024,41
2024-10-17 17:00:00,116.0,2024-10-23 17:00:00,2024,42
2024-10-24 17:00:00,108.0,2024-10-30 17:00:00,2024,43
